#      Y(j)      U(NI/3,j)  U(NI/2,j)  U(NI/2+1,j) U(NI/2+2,j)  U(NI/3*2,j) V(NI/2,j)  V(NI/2+1,j) V(NI/2+2,j)	 #    Y(j)      U(NI/3,j)  U(NI/2,j)  U(NI/2+1,j) U(NI/2+2,j) U(NI/3*2,j) V(NI/2,j)  V(NI/2+1,j) V(NI/2+2,j)
  5.6250E-01  1.5046E+00  4.3306E+00  4.4986E+00  4.5579E+00  4.5076E+00 -8.4654E-01 -5.7620E-01 -3.1569E-01	  0.56250000000000000        1.4944904540617356        4.1087475414099233        4.3636772993845190        4.5150497565462970        4.5073369597085371      -0.95638361119085857      -0.78810093991945340      -0.54701792704761310     
  5.7292E-01  1.4935E+00  3.9559E+00  4.0886E+00  4.0828E+00  3.9646E+00 -9.6202E-01 -6.1108E-01 -3.0756E-01	  0.57291666666666663        1.4850575282666016        3.7744299563554748        4.0023992769649226        4.1061598861518807        3.9647871408099640       -1.0786562710848933      -0.87367290635634220      -0.57987225946637300     
  5.8333E-01  1.4832E+00  3.5177E+00  3.5908E+00  3.5198E+00  3.3389E+00 -1.0558E+00 -6.2021E-01 -2.6005E-01	  0.58333333333333326        1.4741987147721947        3.3808821607235662        3.5740533237213454        3.6133906772634754        3.3387681181456803       -1.1795589076899624      -0.93177616074778813      -0.58175307235779639     
  5.9375E-01  1.4692E+00  2.9927E+00  3.0089E+00  2.8304E+00  2.6291E+00 -1.1516E+00 -5.6900E-01 -1.8652E-01	  0.59375000000000000        1.4619243941888951        2.9266744831919969        3.0710203075632596        3.0179212575124068        2.6292798920403539       -1.2518389557062608      -0.95034984755079233      -0.54552751220417695     
  6.0417E-01  1.4559E+00  2.3820E+00  2.2860E+00  2.0246E+00  1.8364E+00 -1.2108E+00 -4.6984E-01 -6.5726E-02	  0.60416666666666663        1.4482460219669324        2.4149100571769715        2.4816310187241806        2.2843539457461270        1.8363224630913244       -1.2854726136536858      -0.90816404347345236      -0.46413267246077838     
  6.1458E-01  1.4391E+00  1.6169E+00  1.4085E+00  1.0036E+00  9.5986E-01 -1.2989E+00 -2.2954E-01  2.7104E-02	  0.61458333333333326        1.4331760192097134        1.8613895299397059        1.7874226118226275        1.3431295175920215       0.95989583210698615       -1.2671795625513758      -0.76523522721063442      -0.33344579516059747     
  6.2500E-01  1.4228E+00  6.6286E-01  0.0000E+00  0.0000E+00  0.0000E+00 -1.0928E+00  0.0000E+00  0.0000E+00	  0.62500000000000000        1.4167276544309422        1.3116717453706297        0.0000000000000000        0.0000000000000000        0.0000000000000000       -1.1881855553435479        0.0000000000000000        0.0000000000000000     
  6.3542E-01  1.4033E+00  2.5371E-01  0.0000E+00  0.0000E+00  0.0000E+00 -6.3453E-01  0.0000E+00  0.0000E+00	  0.63541666666666663        1.3989149173744937       0.83958097210639060        0.0000000000000000        0.0000000000000000        0.0000000000000000       -1.1461902662913681        0.0000000000000000        0.0000000000000000     
  6.4583E-01  1.3841E+00  1.6599E-01  0.0000E+00  0.0000E+00  0.0000E+00 -4.2467E-01  0.0000E+00  0.0000E+00	  0.64583333333333326        1.3797523860615668       0.47500796123450706        0.0000000000000000        0.0000000000000000        0.0000000000000000      -0.79613024077559136        0.0000000000000000        0.0000000000000000     
  6.5625E-01  1.3620E+00  8.9242E-02  0.0000E+00  0.0000E+00  0.0000E+00 -2.9706E-01  0.0000E+00  0.0000E+00	  0.65625000000000000        1.3592550882630443       0.27046037639075282        0.0000000000000000        0.0000000000000000        0.0000000000000000      -0.56850626293667028        0.0000000000000000        0.0000000000000000     
  6.6667E-01  1.3401E+00  6.6855E-02  0.0000E+00  0.0000E+00  0.0000E+00 -2.1901E-01  0.0000E+00  0.0000E+00	  0.66666666666666663        1.3374383586089642       0.15642107648102838        0.0000000000000000        0.0000000000000000        0.0000000000000000      -0.41683294330317378        0.0000000000000000        0.0000000000000000     
  6.7708E-01  1.3155E+00  4.0620E-02  0.0000E+00  0.0000E+00  0.0000E+00 -1.6527E-01  0.0000E+00  0.0000E+00	  0.67708333333333326        1.3143176925497275        9.2959497766570365E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000      -0.31320761321101276        0.0000000000000000        0.0000000000000000     
